DepressionID	MaximumArea	MaximumVolume	MaximumDepth	MinimumContributingArea	CurveNumber
30510	2592	272.79	0.26	40788	100
30511	4941	486.27	0.28	25263	100
30512	7146	1363.32	0.42	23211	100
30513	1710	160.02	0.22	10197	100
30517	15381	4630.14	0.6	63342	100
30519	594	37.17	0.19	5688	100
30522	2016	186.03	0.25	22563	100
30523	1260	91.08	0.31	12141	100
30524	738	28.8	0.23	10089	100
30525	981	96.3	0.26	29403	100
30526	891	180	0.64	3555	100
30527	10746	4301.91	0.88	40293	100
30530	1791	217.89	0.29	11484	100
30531	16308	3446.64	0.71	134352	100
30532	105444	46152.81	1.88	466326	100
30534	24642	7192.26	0.66	85887	100
30536	4320	304.11	0.32	17676	100
30544	4221	377.73	0.23	79137	100
30549	245781	186150.69	1.23	407808	100
30550	4050	381.33	0.23	11754	100
30552	1278	115.74	0.28	5184	100
30553	139410	136879.74	1.84	441639	100
30555	12213	2448.81	0.5	81243	100
30558	3006	416.07	0.38	10971	100
30563	5580	616.86	0.25	134307	100
30564	5256	540.72	0.32	25884	100
30566	4743	558.18	0.34	24102	100
30567	729	46.89	0.19	16722	100
30571	25569	12983.58	1.03	78327	100
30575	81990	29403.81	0.99	243675	100
30589	49131	36004.23	1.78	117234	100
116031	7614	1641.15	0.47	34785	100
116287	5535	515.79	0.24	19800	100
116599	3150	424.8	0.31	7974	100
116679	2070	241.47	0.23	10620	100
116721	1071	112.59	0.29	3159	100
116776	1926	190.26	0.21	14463	100
116903	2187	299.25	0.41	11925	100
116920	2529	350.37	0.36	13653	100
116933	6291	1327.59	0.51	42966	100
116992	1971	169.29	0.23	34803	100
117000	64593	18506.07	0.62	268965	100
117041	6435	628.74	0.28	59418	100
117064	115542	66289.05	1.21	259497	100
117109	36648	9480.51	0.71	173709	100
117124	1620	127.62	0.21	30888	100
117262	41760	16226.01	0.88	108378	100
117379	68751	28209.42	0.78	294966	100
118120	10548	2856.42	0.67	144414	100
166435	563292	193919.67	0.97	1432593	100
166437	10827	2473.2	0.46	49104	100
166908	707220	263214.18	1.02	1795113	100
166970	3915	467.1	0.32	17757	100
166971	2520	263.7	0.26	14364	100
