DepressionID	Ac	Am	Nds	Ndsds	Nus	Nuscd	OutletID	Sdus	Shrn	Strn	USAc	USVm	Vm	p0.001	p0.01	p0.02	p0.03	p0.04	p0.05	p0.06	p0.07	p0.08	p0.09	p0.1	p0.11	p0.12	p0.13	p0.14	p0.15	p0.16	p0.17	p0.18	p0.19	p0.2	p0.21	p0.22	p0.23	p0.24	p0.25	p0.26	p0.27	p0.28	p0.29	p0.3	p0.31	p0.32	p0.33	p0.34	p0.35	p0.36	p0.37	p0.38	p0.39	p0.4	p0.41	p0.42	p0.43	p0.44	p0.45	p0.46	p0.47	p0.48	p0.49	p0.5	p0.51	p0.52	p0.53	p0.54	p0.55	p0.56	p0.57	p0.58	p0.59
30238	19530	3987	1	5	1	1	[117000]	0.0171540329107	1	1	33363.0	572.31	388.44	0.0	0.0	94.95	428.58	762.21	1095.84	1429.47	1763.1	2096.73	2430.36	2763.99	3097.62	3431.25	3764.88	4098.51	4432.14	4765.77	5099.4	5433.03	5766.66	6100.29	6433.92	6767.55	7101.18	7434.81	7768.44	8102.07	8435.7	8769.33	9102.96	9436.59	9770.22	10103.85	10437.48	10771.11	11104.74	11438.37	11772.0	12105.63	12439.26	12772.89	13106.52	13440.15	13773.78	14107.41	14441.04	14774.67	15108.3	15441.93	15775.56	16109.19	16442.82	16776.45	17110.08	17443.71	17777.34	18110.97	18444.6	18778.23	19111.86
30531	134352	16308	1	16	0	0	[117000]	0.0	1	1	0.0	0.0	3446.64	134.352	1343.52	2687.04	4030.56	5374.08	6717.6	8061.12	9404.64	10748.16	12091.68	13435.2	14778.72	16122.24	17465.76	18809.28	20152.8	21496.32	22839.84	24183.36	25526.88	26870.4	28213.92	29557.44	30900.96	32244.48	33588.0	34931.52	36275.04	37618.56	38962.08	40305.6	41649.12	42992.64	44336.16	45679.68	47023.2	48366.72	49710.24	51053.76	52397.28	53740.8	55084.32	56427.84	57771.36	59114.88	60458.4	61801.92	63145.44	64488.96	65832.48	67176.0	68519.52	69863.04	71206.56	72550.08	73893.6	75237.12	76580.64	77924.16	79267.68
30241	33327	1719	1	7	0	0	[117000]	0.0	1	1	0.0	0.0	179.37	33.327	333.27	666.54	999.81	1333.08	1666.35	1999.62	2332.89	2666.16	2999.43	3332.7	3665.97	3999.24	4332.51	4665.78	4999.05	5332.32	5665.59	5998.86	6332.13	6665.4	6998.67	7331.94	7665.21	7998.48	8331.75	8665.02	8998.29	9331.56	9664.83	9998.1	10331.37	10664.64	10997.91	11331.18	11664.45	11997.72	12330.99	12664.26	12997.53	13330.8	13664.07	13997.34	14330.61	14663.88	14997.15	15330.42	15663.69	15996.96	16330.23	16663.5	16996.77	17330.04	17663.31	17996.58	18329.85	18663.12	18996.39	19329.66	19662.93
166435	1432593	563292	1	2	11	215	[117000]	11.6255470952	164	3	23358132.0	3103808.67	193919.67	37.791	2403.45	7589.97	16373.34	32138.82	48952.62	67182.93	85591.8	157514.4	251330.22	349001.1	458064.99	581619.69	707079.42	833076.135	986062.32	1170367.965	1354762.53	1539157.095	1723551.66	1909169.82	2104922.43	2300675.04	2499744.51	2700968.22	2902191.93	3103415.64	3304639.35	3505863.06	3707086.77	3920262.66	4151489.49	4383550.35	4615611.21	4847672.07	5079732.93	5311793.79	5543854.65	5775915.51	6007976.37	6240037.23	6473025.45	6706606.77	6940188.09	7173769.41	7407350.73	7640932.05	7874513.37	8108094.69	8341676.01	8575257.33	8808838.65	9042419.97	9276001.29	9509582.61	9743163.93	9976745.25	10210326.57	10443907.89	10677489.21
166437	49104	10827	1	4	0	0	[117000]	0.0	1	1	0.0	0.0	2473.2	49.104	491.04	982.08	1473.12	1964.16	2455.2	2946.24	3437.28	3928.32	4419.36	4910.4	5401.44	5892.48	6383.52	6874.56	7365.6	7856.64	8347.68	8838.72	9329.76	9820.8	10311.84	10802.88	11293.92	11784.96	12276.0	12767.04	13258.08	13749.12	14240.16	14731.2	15222.24	15713.28	16204.32	16695.36	17186.4	17677.44	18168.48	18659.52	19150.56	19641.6	20132.64	20623.68	21114.72	21605.76	22096.8	22587.84	23078.88	23569.92	24060.96	24552.0	25043.04	25534.08	26025.12	26516.16	27007.2	27498.24	27989.28	28480.32	28971.36
30248	33363	6075	1	6	0	0	[117000]	0.0	1	1	0.0	0.0	572.31	33.363	333.63	667.26	1000.89	1334.52	1668.15	2001.78	2335.41	2669.04	3002.67	3336.3	3669.93	4003.56	4337.19	4670.82	5004.45	5338.08	5671.71	6005.34	6338.97	6672.6	7006.23	7339.86	7673.49	8007.12	8340.75	8674.38	9008.01	9341.64	9675.27	10008.9	10342.53	10676.16	11009.79	11343.42	11677.05	12010.68	12344.31	12677.94	13011.57	13345.2	13678.83	14012.46	14346.09	14679.72	15013.35	15346.98	15680.61	16014.24	16347.87	16681.5	17015.13	17348.76	17682.39	18016.02	18349.65	18683.28	19016.91	19350.54	19684.17
30254	25074	1665	1	4	0	0	[117000]	0.0	1	1	0.0	0.0	162.45	25.074	250.74	501.48	752.22	1002.96	1253.7	1504.44	1755.18	2005.92	2256.66	2507.4	2758.14	3008.88	3259.62	3510.36	3761.1	4011.84	4262.58	4513.32	4764.06	5014.8	5265.54	5516.28	5767.02	6017.76	6268.5	6519.24	6769.98	7020.72	7271.46	7522.2	7772.94	8023.68	8274.42	8525.16	8775.9	9026.64	9277.38	9528.12	9778.86	10029.6	10280.34	10531.08	10781.82	11032.56	11283.3	11534.04	11784.78	12035.52	12286.26	12537.0	12787.74	13038.48	13289.22	13539.96	13790.7	14041.44	14292.18	14542.92	14793.66
30536	17676	4320	1	15	1	1	[117000]	0.0256538049303	1	1	134352.0	3446.64	304.11	0.0	0.0	0.0	583.92	1927.44	3270.96	4614.48	5958.0	7301.52	8645.04	9988.56	11332.08	12675.6	14019.12	15362.64	16706.16	18049.68	19393.2	20736.72	22080.24	23423.76	24767.28	26110.8	27454.32	28797.84	30141.36	31484.88	32828.4	34171.92	35515.44	36858.96	38202.48	39546.0	40889.52	42233.04	43576.56	44920.08	46263.6	47607.12	48950.64	50294.16	51637.68	52981.2	54324.72	55668.24	57011.76	58355.28	59698.8	61042.32	62385.84	63729.36	65072.88	66416.4	67759.92	69103.44	70446.96	71790.48	73134.0	74477.52	75821.04
30258	196263	74862	1	3	4	81	[117000]	4.96818497317	40	3	8021628.0	1364184.0	15077.16	0.0	1224.27	5972.58	11660.13	17347.68	23035.23	28722.78	34524.27	44486.1	58438.035	75408.345	98276.22	127441.575	157559.445	188173.5975	218989.8	249806.0025	280622.205	311438.4075	342254.61	373070.8125	403887.015	434703.2175	465519.42	496335.6225	527151.825	557968.0275	588784.23	619600.4325	650416.635	687208.9275	732857.535	778506.1425	824154.75	869803.3575	915451.965	961100.5725	1006749.18	1052397.7875	1098046.395	1143695.0025	1189807.29	1236216.1275	1282624.965	1329033.8025	1375442.64	1421851.4775	1468260.315	1514669.1525	1561077.99	1607486.8275	1653895.665	1700304.5025	1746713.34	1793122.1775	1839531.015	1885939.8525	1932348.69	1978757.5275	2025166.365
117064	259497	115542	1	4	3	3	[117000]	0.0749539795538	3	2	40095.0	1000.89	66289.05	0.0	0.0	0.0	201.96	602.91	1003.86	1404.81	1805.76	2206.71	2607.66	3008.61	3409.56	3810.51	4211.46	4612.41	5013.36	5414.31	5815.26	6216.21	6617.16	7018.11	7419.06	7820.01	8220.96	8621.91	9022.86	9423.81	9824.76	10225.71	10626.66	11027.61	11428.56	11829.51	12230.46	12631.41	13032.36	13433.31	13834.26	14235.21	14636.16	15037.11	15438.06	15839.01	16239.96	16640.91	17041.86	17442.81	17843.76	18244.71	18645.66	19046.61	19447.56	19848.51	20249.46	20650.41	21051.36	21452.31	21853.26	22254.21	22655.16
30264	23220	2889	1	12	0	0	[117000]	0.0	1	1	0.0	0.0	454.32	23.22	232.2	464.4	696.6	928.8	1161.0	1393.2	1625.4	1857.6	2089.8	2322.0	2554.2	2786.4	3018.6	3250.8	3483.0	3715.2	3947.4	4179.6	4411.8	4644.0	4876.2	5108.4	5340.6	5572.8	5805.0	6037.2	6269.4	6501.6	6733.8	6966.0	7198.2	7430.4	7662.6	7894.8	8127.0	8359.2	8591.4	8823.6	9055.8	9288.0	9520.2	9752.4	9984.6	10216.8	10449.0	10681.2	10913.4	11145.6	11377.8	11610.0	11842.2	12074.4	12306.6	12538.8	12771.0	13003.2	13235.4	13467.6	13699.8
30265	18099	2547	1	4	0	0	[117000]	0.0	1	1	0.0	0.0	330.03	18.099	180.99	361.98	542.97	723.96	904.95	1085.94	1266.93	1447.92	1628.91	1809.9	1990.89	2171.88	2352.87	2533.86	2714.85	2895.84	3076.83	3257.82	3438.81	3619.8	3800.79	3981.78	4162.77	4343.76	4524.75	4705.74	4886.73	5067.72	5248.71	5429.7	5610.69	5791.68	5972.67	6153.66	6334.65	6515.64	6696.63	6877.62	7058.61	7239.6	7420.59	7601.58	7782.57	7963.56	8144.55	8325.54	8506.53	8687.52	8868.51	9049.5	9230.49	9411.48	9592.47	9773.46	9954.45	10135.44	10316.43	10497.42	10678.41
166970	17757	3915	1	3	1	4	[117000]	0.330406065705	3	2	299592.0	67289.94	467.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1616.22	4612.14	7608.06	10603.98	13599.9	16595.82	19591.74	22587.66	25583.58	28579.5	31575.42	34571.34	37567.26	40563.18	43559.1	46555.02	49550.94	52546.86	55542.78	58538.7	61534.62	64530.54	67526.46	70522.38	73518.3	76514.22	79510.14	82506.06	85501.98	88497.9	91493.82	94489.74	97485.66	100481.58	103477.5	106473.42	109469.34
166971	14364	2520	1	4	0	0	[117000]	0.0	1	1	0.0	0.0	263.7	14.364	143.64	287.28	430.92	574.56	718.2	861.84	1005.48	1149.12	1292.76	1436.4	1580.04	1723.68	1867.32	2010.96	2154.6	2298.24	2441.88	2585.52	2729.16	2872.8	3016.44	3160.08	3303.72	3447.36	3591.0	3734.64	3878.28	4021.92	4165.56	4309.2	4452.84	4596.48	4740.12	4883.76	5027.4	5171.04	5314.68	5458.32	5601.96	5745.6	5889.24	6032.88	6176.52	6320.16	6463.8	6607.44	6751.08	6894.72	7038.36	7182.0	7325.64	7469.28	7612.92	7756.56	7900.2	8043.84	8187.48	8331.12	8474.76
