DepressionID	Ac	Am	Nds	Ndsds	Nus	Nuscd	OutletID	Sdus	Shrn	Strn	USAc	USVm	Vm	p0.001	p0.01	p0.02	p0.03	p0.04	p0.05	p0.06	p0.07	p0.08	p0.09	p0.1	p0.11	p0.12	p0.13	p0.14	p0.15	p0.16	p0.17	p0.18	p0.19	p0.2	p0.21	p0.22	p0.23	p0.24	p0.25	p0.26	p0.27	p0.28	p0.29	p0.3	p0.31	p0.32	p0.33	p0.34	p0.35	p0.36	p0.37	p0.38	p0.39	p0.4	p0.41	p0.42	p0.43	p0.44	p0.45	p0.46	p0.47	p0.48	p0.49	p0.5	p0.51	p0.52	p0.53	p0.54	p0.55	p0.56	p0.57	p0.58	p0.59
30238	19530	3987	1	5	1	1	[117000]	0.0171540329107	1	1	33363.0	572.31	388.44	0.0	0.0	97.11	626.04	1154.97	1683.9	2212.83	2741.76	3270.69	3799.62	4328.55	4857.48	5386.41	5915.34	6444.27	6973.2	7502.13	8031.06	8559.99	9088.92	9617.85	10146.78	10675.71	11204.64	11733.57	12262.5	12791.43	13320.36	13849.29	14378.22	14907.15	15436.08	15965.01	16493.94	17022.87	17551.8	18080.73	18609.66	19138.59	19667.52	20196.45	20725.38	21254.31	21783.24	22312.17	22841.1	23370.03	23898.96	24427.89	24956.82	25485.75	26014.68	26543.61	27072.54	27601.47	28130.4	28659.33	29188.26	29717.19	30246.12
30531	134352	16308	1	16	0	0	[117000]	0.0	1	1	0.0	0.0	3446.64	0.0	0.0	0.0	583.92	1927.44	3270.96	4614.48	5958.0	7301.52	8645.04	9988.56	11332.08	12675.6	14019.12	15362.64	16706.16	18049.68	19393.2	20736.72	22080.24	23423.76	24767.28	26110.8	27454.32	28797.84	30141.36	31484.88	32828.4	34171.92	35515.44	36858.96	38202.48	39546.0	40889.52	42233.04	43576.56	44920.08	46263.6	47607.12	48950.64	50294.16	51637.68	52981.2	54324.72	55668.24	57011.76	58355.28	59698.8	61042.32	62385.84	63729.36	65072.88	66416.4	67759.92	69103.44	70446.96	71790.48	73134.0	74477.52	75821.04
30241	33327	1719	1	7	0	0	[117000]	0.0	1	1	0.0	0.0	179.37	0.0	153.9	487.17	820.44	1153.71	1486.98	1820.25	2153.52	2486.79	2820.06	3153.33	3486.6	3819.87	4153.14	4486.41	4819.68	5152.95	5486.22	5819.49	6152.76	6486.03	6819.3	7152.57	7485.84	7819.11	8152.38	8485.65	8818.92	9152.19	9485.46	9818.73	10152.0	10485.27	10818.54	11151.81	11485.08	11818.35	12151.62	12484.89	12818.16	13151.43	13484.7	13817.97	14151.24	14484.51	14817.78	15151.05	15484.32	15817.59	16150.86	16484.13	16817.4	17150.67	17483.94	17817.21	18150.48	18483.75	18817.02	19150.29	19483.56
166435	1432593	563292	1	2	11	215	[117000]	11.6255470952	164	3	23358132.0	3103808.67	193919.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78202.17	186343.92	298340.73	421730.55	559611.18	699396.84	839719.485	1007031.6	1205663.175	1404383.67	1603104.165	1801824.66	2001768.75	2211847.29	2421925.83	2635321.23	2850870.87	3066420.51	3281970.15	3497519.79	3713069.43	3928619.07	4156120.89	4401673.65	4648060.44	4894447.23	5140834.02	5387220.81	5633607.6	5879994.39	6126381.18	6372767.97	6619154.76	6866468.91	7114376.16	7362283.41	7610190.66	7858097.91	8106005.16	8353912.41	8601819.66	8849726.91	9097634.16	9345541.41	9593448.66	9841355.91	10089263.16	10337170.41	10585077.66	10832984.91	11080892.16	11328799.41
166437	49104	10827	1	4	0	0	[117000]	0.0	1	1	0.0	0.0	2473.2	0.0	0.0	0.0	0.0	0.0	0.0	473.04	964.08	1455.12	1946.16	2437.2	2928.24	3419.28	3910.32	4401.36	4892.4	5383.44	5874.48	6365.52	6856.56	7347.6	7838.64	8329.68	8820.72	9311.76	9802.8	10293.84	10784.88	11275.92	11766.96	12258.0	12749.04	13240.08	13731.12	14222.16	14713.2	15204.24	15695.28	16186.32	16677.36	17168.4	17659.44	18150.48	18641.52	19132.56	19623.6	20114.64	20605.68	21096.72	21587.76	22078.8	22569.84	23060.88	23551.92	24042.96	24534.0	25025.04	25516.08	26007.12	26498.16
30248	33363	6075	1	6	0	0	[117000]	0.0	1	1	0.0	0.0	572.31	0.0	0.0	94.95	428.58	762.21	1095.84	1429.47	1763.1	2096.73	2430.36	2763.99	3097.62	3431.25	3764.88	4098.51	4432.14	4765.77	5099.4	5433.03	5766.66	6100.29	6433.92	6767.55	7101.18	7434.81	7768.44	8102.07	8435.7	8769.33	9102.96	9436.59	9770.22	10103.85	10437.48	10771.11	11104.74	11438.37	11772.0	12105.63	12439.26	12772.89	13106.52	13440.15	13773.78	14107.41	14441.04	14774.67	15108.3	15441.93	15775.56	16109.19	16442.82	16776.45	17110.08	17443.71	17777.34	18110.97	18444.6	18778.23	19111.86
30254	25074	1665	1	4	0	0	[117000]	0.0	1	1	0.0	0.0	162.45	0.0	88.29	339.03	589.77	840.51	1091.25	1341.99	1592.73	1843.47	2094.21	2344.95	2595.69	2846.43	3097.17	3347.91	3598.65	3849.39	4100.13	4350.87	4601.61	4852.35	5103.09	5353.83	5604.57	5855.31	6106.05	6356.79	6607.53	6858.27	7109.01	7359.75	7610.49	7861.23	8111.97	8362.71	8613.45	8864.19	9114.93	9365.67	9616.41	9867.15	10117.89	10368.63	10619.37	10870.11	11120.85	11371.59	11622.33	11873.07	12123.81	12374.55	12625.29	12876.03	13126.77	13377.51	13628.25	13878.99	14129.73	14380.47	14631.21
30536	17676	4320	1	15	1	1	[117000]	0.0256538049303	1	1	134352.0	3446.64	304.11	0.0	0.0	49.41	810.09	2330.37	3850.65	5370.93	6891.21	8411.49	9931.77	11452.05	12972.33	14492.61	16012.89	17533.17	19053.45	20573.73	22094.01	23614.29	25134.57	26654.85	28175.13	29695.41	31215.69	32735.97	34256.25	35776.53	37296.81	38817.09	40337.37	41857.65	43377.93	44898.21	46418.49	47938.77	49459.05	50979.33	52499.61	54019.89	55540.17	57060.45	58580.73	60101.01	61621.29	63141.57	64661.85	66182.13	67702.41	69222.69	70742.97	72263.25	73783.53	75303.81	76824.09	78344.37	79864.65	81384.93	82905.21	84425.49	85945.77
30258	196263	74862	1	3	4	81	[117000]	4.96818497317	40	3	8021628.0	1364184.0	15077.16	0.0	0.0	0.0	2470.86	10121.04	17771.22	25421.4	33185.52	45109.98	61024.545	79957.485	104787.99	135915.975	167996.475	200573.2575	233352.09	266130.9225	298909.755	331688.5875	364467.42	397246.2525	430025.085	462803.9175	495582.75	528361.5825	561140.415	593919.2475	626698.08	659476.9125	692255.745	731010.6675	778621.905	826233.1425	873844.38	921455.6175	969066.855	1016678.0925	1064289.33	1111900.5675	1159511.805	1207123.0425	1255197.96	1303569.4275	1351940.895	1400312.3625	1448683.83	1497055.2975	1545426.765	1593798.2325	1642169.7	1690541.1675	1738912.635	1787284.1025	1835655.57	1884027.0375	1932398.505	1980769.9725	2029141.44	2077512.9075	2125884.375
117064	259497	115542	1	4	3	3	[117000]	0.0749539795538	3	2	40095.0	1000.89	66289.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1616.22	4612.14	7608.06	10603.98	13599.9	16595.82	19591.74	22587.66	25583.58	28579.5	31575.42	34571.34	37567.26	40563.18	43559.1	46555.02	49550.94	52546.86	55542.78	58538.7	61534.62	64530.54	67526.46	70522.38	73518.3	76514.22	79510.14	82506.06	85501.98	88497.9	91493.82	94489.74	97485.66	100481.58	103477.5	106473.42	109469.34
