	Ar	CasTime	FAr	FQr	Ff	Fr	Fs	Fv	Nf	Nhw	Niso	Nms	Nout	Nr	P	Qr	Qt	RecTime	SolTime	TotTime	Vs
24	22569057.0	0.00300002098083	0.874606323517	0.487566885765	0.982142857143	0.90625	0.512433114235	0.941043471016	220	108	0	94	1	203	0.24	3019577.94	6193156.32	0.0429999828339	0.00499987602234	0.050999879837	3173578.38
25	22569057.0	0.0019998550415	0.874606323517	0.503048463275	0.982142857143	0.90625	0.496951536725	0.950638292376	220	108	0	94	1	203	0.25	3245268.51	6451204.5	0.0390000343323	0.00499987602234	0.0469999313354	3205935.99
26	22569057.0	0.0019998550415	0.874606323517	0.517339150208	0.982142857143	0.90625	0.482660849792	0.960233113736	220	108	0	94	1	203	0.26	3470959.08	6709252.68	0.0410001277924	0.00500011444092	0.0480000972748	3238293.6
27	22569057.0	0.00200009346008	0.874606323517	0.530571267738	0.982142857143	0.90625	0.469428732262	0.969827935096	220	108	0	94	1	203	0.27	3696649.65	6967300.86	0.0329999923706	0.00500011444092	0.0410001277924	3270651.21
28	22569057.0	0.000999927520752	0.874606323517	0.542858234016	0.982142857143	0.90625	0.457141765984	0.979422756456	220	108	0	94	1	203	0.28	3922340.22	7225349.04	0.0320000648499	0.00699996948242	0.039999961853	3303008.82
29	22569057.0	0.000999927520752	0.874606323517	0.554297823309	0.982142857143	0.90625	0.445702176691	0.989017577816	220	108	0	94	1	203	0.29	4148030.79	7483397.22	0.0380001068115	0.00500011444092	0.0440001487732	3335366.43
30	25535538.0	0.0019998550415	0.989564739422	0.5665186943	0.991071428571	0.991071428571	0.4334813057	0.995068286	222	119	0	102	1	222	0.3	4385673.54	7741445.4	0.0380001068115	0.00600004196167	0.0460000038147	3355771.86
31	25652772.0	0.000999927520752	0.994107844512	0.580207632344	0.995535714286	0.995535714286	0.419792367656	0.995766449768	223	120	0	102	1	223	0.31	4641367.23	7999493.58	0.0380001068115	0.00500011444092	0.0450000762939	3358126.35
32	25652772.0	0.00100016593933	0.994107844512	0.593142013974	0.995535714286	0.995535714286	0.406857986026	0.99621730328	223	120	0	102	1	223	0.32	4897894.95	8257541.76	0.0369999408722	0.00399994850159	0.0420000553131	3359646.81
33	25652772.0	0.0019998550415	0.994107844512	0.605292493687	0.995535714286	0.995535714286	0.394707506313	0.996668156791	223	120	0	102	1	223	0.33	5154422.67	8515589.94	0.0410001277924	0.00800013542175	0.0510001182556	3361167.27
34	25652772.0	0.00100016593933	0.994107844512	0.6167282393	0.995535714286	0.995535714286	0.3832717607	0.997119010302	223	120	0	102	1	223	0.34	5410950.39	8773638.12	0.0339999198914	0.00399994850159	0.039999961853	3362687.73
35	25652772.0	0.00200009346008	0.994107844512	0.627510513734	0.995535714286	0.995535714286	0.372489486266	0.997569863813	223	120	0	102	1	223	0.35	5667478.11	9031686.3	0.0339999198914	0.00500011444092	0.0420000553131	3364208.19
36	25652772.0	0.0	0.994107844512	0.637693772923	0.995535714286	0.995535714286	0.362306227077	0.998020717325	223	120	0	102	1	223	0.36	5924005.83	9289734.48	0.0350000858307	0.00399994850159	0.039999961853	3365728.65
37	25652772.0	0.00200009346008	0.994107844512	0.647326585668	0.995535714286	0.995535714286	0.352673414332	0.998471570836	223	120	0	102	1	223	0.37	6180533.55	9547782.66	0.0360000133514	0.00399994850159	0.0420000553131	3367249.11
38	25652772.0	0.000999927520752	0.994107844512	0.656452408269	0.995535714286	0.995535714286	0.343547591731	0.998922424347	223	120	0	102	1	223	0.38	6437061.27	9805830.84	0.0339999198914	0.00399994850159	0.039999961853	3368769.57
39	25652772.0	0.00200009346008	0.994107844512	0.665110239968	0.995535714286	0.995535714286	0.334889760032	0.999373277858	223	120	0	102	1	223	0.39	6693588.99	10063879.02	0.0469999313354	0.00699996948242	0.0579998493195	3370290.03
40	25652772.0	0.000999927520752	0.994107844512	0.673335180081	0.995535714286	0.995535714286	0.326664819919	0.99982413137	223	120	0	102	1	223	0.4	6950116.71	10321927.2	0.0340001583099	0.00500011444092	0.0400002002716	3371810.49
41	25804818.0	0.00200009346008	1.0	0.681246555982	1.0	1.0	0.318753444018	1.0	224	121	0	102	1	224	0.41	7207571.79	10579975.38	0.0350000858307	0.00600004196167	0.0440001487732	3372403.59
42	25804818.0	0.0	1.0	0.688835923697	1.0	1.0	0.311164076303	1.0	224	121	0	102	1	224	0.42	7465619.97	10838023.56	0.0350000858307	0.00399994850159	0.039999961853	3372403.59
43	25804818.0	0.00200009346008	1.0	0.696072297564	1.0	1.0	0.303927702436	1.0	224	121	0	102	1	224	0.43	7723668.15	11096071.74	0.0350000858307	0.00499987602234	0.0420000553131	3372403.59
44	25804818.0	0.00100016593933	1.0	0.702979745347	1.0	1.0	0.297020254653	1.0	224	121	0	102	1	224	0.44	7981716.33	11354119.92	0.0329999923706	0.00699996948242	0.0420000553131	3372403.59
